,title,content,source,url
0,,"Bạn xấu như chiếc bóng
Cứ bám riết theo anh
Khi anh sáng, rực rỡ
Như mặt trời long lanh

Nhưng họ sẽ biến mất
Khi trời phủ mây đen
Tức là khi anh đói
Trong túi không có tiền",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/B%E1%BA%A1n-x%E1%BA%A5u-nh%C6%B0-chi%E1%BA%BFc-b%C3%B3ng/poem-4r1MApTHwgzgxicR8oy7nQ
1,,"Cái làm ta hạnh phúc
Thực ra cũng chẳng nhiều
Chỉ cần có ai đó
Để ta thầm thương yêu

Rồi thêm chút công việc
Cho ta làm hàng ngày
Cuối cùng, chút mơ mộng
Để đưa ta lên mây",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/C%C3%A1i-l%C3%A0m-ta-h%E1%BA%A1nh-ph%C3%BAc/poem-t24-M5Dn2cxmEDVSrQhtCw
2,,"Chiều vừa xốp trên tay
Chợt nghe thoáng ong bay
Có ai vừa chết nhỉ
Mây thắt tang trăng gầy

Ớt đỏ sao cứ đỏ
Táo chín cho thật vàng
Em đẹp cho thêm đẹp
Để mắt ngừng lang thang",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/L%C3%A2m-Huy-Nhu%E1%BA%ADn/Chi%E1%BB%81u-v%E1%BB%ABa-x%E1%BB%91p-tr%C3%AAn-tay/poem-f31v-s36HNxJNqauIrC7Xw
3,,"Chơi thân không có nghĩa
Không cãi nhau bao giờ
Không làm nhau tức giận
Hay đôi lúc hững hờ

Vấn đề là ở chỗ
Đã chơi thân với nhau
Thì phải nên kiềm chế
Đừng giận dỗi quá lâu",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Ch%C6%A1i-th%C3%A2n-kh%C3%B4ng-c%C3%B3-ngh%C4%A9a/poem-UHcGs3KT2AX8C0LsaFsT3w
4,,"Có thể buồn chút ít
Một mình, không người yêu
Nhưng tình yêu bất hạnh
Thực sự buồn hơn nhiều",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/C%C3%B3-th%E1%BB%83-bu%E1%BB%93n-ch%C3%BAt-%C3%ADt/poem-hW1hoVM5fXDL1q_pi91DAw
5,,"Có thể có ông bố
Không yêu con; xưa nay
Đã ông là yêu cháu
Tôi khẳng định điều này",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/C%C3%B3-th%E1%BB%83-c%C3%B3-%C3%B4ng-b%E1%BB%91/poem-07LDSru7njk6vpq-Vn5Hag
6,,"Dưới giàn hoa thiên lý
Một mình anh đang ngồi
Không dưng em bước tới
Anh bỗng thành song đôi",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Nguy%E1%BB%85n-Nh%E1%BA%ADt-%C3%81nh/D%C6%B0%E1%BB%9Bi-gi%C3%A0n-hoa-thi%C3%AAn-l%C3%BD/poem-u0YIZsC-pwwY1Khy_e96OQ
7,,"Đàn ông đòi phụ nữ
Dâng hiến hết cho mình
Được rồi, lại ca cẩm
Chuyện vợ con, gia đình

Tức là họ chỉ muốn
Phần đẹp của hôn nhân
Và trút hết cho vợ
Phần lo lắng, nhọc nhằn",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/%C4%90%C3%A0n-%C3%B4ng-%C4%91%C3%B2i-ph%E1%BB%A5-n%E1%BB%AF/poem--FB25HAZPRKsei049lfNvQ
8,,"Đến, nhiều nơi để đến
Về, trở lại với mình
Chỉ duy nhất một chốn
Chốn ấy là gia đình",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/%C4%90%E1%BA%BFn-nhi%E1%BB%81u-n%C6%A1i-%C4%91%E1%BB%83-%C4%91%E1%BA%BFn/poem-39NZptOCqcWR7beS-TJcOg
9,,"Đừng bao giờ dại dột
Đem chuyện riêng của mình
Tâm sự với người khác
Đây, con số chứng minh:

Hai phần ba trong họ
Sẽ chẳng thèm quan tâm
Một phần ba còn lại
Nghe xong, lòng vui thầm",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/%C4%90%E1%BB%ABng-bao-gi%E1%BB%9D-d%E1%BA%A1i-d%E1%BB%99t/poem-G6OAEVSjTKCAXXDhIoGKyA
10,,"Hầu hết các đồ vật
Ta muốn đều đắt tiền
Một khi không có được
Ta cảm thấy buồn phiền

Trong khi cái thực sự
Làm ta vui ở đời
Hoàn toàn không tốn kém
Là tình yêu, tiếng cười",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/H%E1%BA%A7u-h%E1%BA%BFt-c%C3%A1c-%C4%91%E1%BB%93-v%E1%BA%ADt/poem-UgNEBlIDpJW5xfeygCe28g
11,,"Hiện tại anh đang sống
Không được để phí hoài
Vì nỗi buồn quá khứ
Và sợ hãi tương lai",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Hi%E1%BB%87n-t%E1%BA%A1i-anh-%C4%91ang-s%E1%BB%91ng/poem-pYUpg8fOuGOnRLk0QFmMWQ
12,,"Học Đạo quý vô tâm
Làm, nghĩ, nói không lầm
Sáng, trong và lặng lẽ
Giản dị mới uyên thâm","Ngày 09-11-2010

[Thông tin 1 nguồn tham khảo đã được ẩn]",https://www.thivien.net/Vi%C3%AAn-Minh/H%E1%BB%8Dc-%C4%90%E1%BA%A1o-qu%C3%BD-v%C3%B4-t%C3%A2m/poem-18g-oWPgDeFO85dVTntmTg
13,,"Khi cô gái im lặng
Năm lý do như sau:
Một, nàng đang tức giận
Hai, nàng đang buồn đau

Ba, nàng sắp bùng nổ
Bốn, nàng nghi ngờ mình
Năm, và quan trọng nhất
Nàng chờ bạn tỏ tình",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Khi-c%C3%B4-g%C3%A1i-im-l%E1%BA%B7ng/poem-JGuKQCVpULYCIRVVfQK-2g
14,,"Khi gặp chuyện phiền muộn
Và đầu óc nặng nề
Dạo bộ khoảng mươi phút
Bạn sẽ thấy ô-kê

Các nhà khoa học nói
Dạo bộ làm gia tăng
Các hoá chất trong não
Giúp bạn thấy cân bằng",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Khi-g%E1%BA%B7p-chuy%E1%BB%87n-phi%E1%BB%81n-mu%E1%BB%99n/poem-V4wjxdwmRNFxRn2C9S9iyA
15,,"Khi tiếng niệm Di Đà
Vang vọng trong tâm ta
Rơi đi những phiền não
Cho Bồ đề nở hoa",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%ADch-Ch%C3%A2n-T%C3%ADnh/Khi-ti%E1%BA%BFng-ni%E1%BB%87m-Di-%C4%90%C3%A0/poem-pDbZtZ1CigVW422eL0CQ2g
16,,"Khoẻ - không phải nhấc mạnh
Mà biết đặt nhẹ nhàng
Kính - đối với người dưới
Như những người ngang hàng

Lớn - không ở to tát
Mà ở điều bình thường
Đẹp - không ở khuôn mặt
Mà trái tim yêu thương

Tốt - không ở lời nói
Mà việc làm hàng ngày
Cuốn sách đẹp, bìa cứng
Chưa hẳn là sách hay",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Kho%E1%BA%BB-kh%C3%B4ng-ph%E1%BA%A3i-nh%E1%BA%A5c-m%E1%BA%A1nh/poem-AcjlU8CFbBUa5ZwreL_Qpw
17,,"Không thể kiểm tra bạn
Như ta kiểm tra tiền
Muốn xem thật hay giả
Đem soi trước bóng đèn",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%A1i-B%C3%A1-T%C3%A2n/Kh%C3%B4ng-th%E1%BB%83-ki%E1%BB%83m-tra-b%E1%BA%A1n/poem-OrB3lHwvfpxlSwoSsC8pUQ
18,,"Lặng ngồi chốn tĩnh lâu
Trăng sáng, gió canh thâu!
Bát nhã hương lòng nhẹ.
Lăng Già niệm ý sâu
Phật, Tâm chung một vẻ
Thiền, Tịnh chẳng hai mầu
Ngưng chuỗi, thầm riêng hỏi
Hoa đêm điểm điểm đầu...",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Th%C3%ADch-Thi%E1%BB%81n-T%C3%A2m/L%E1%BA%B7ng-ng%E1%BB%93i-ch%E1%BB%91n-t%C4%A9nh-l%C3%A2u/poem-6510NdSMoamB9S3QMp9AhA
19,,"Lòng tôi là cây khế
Em là chim về chơi
Vàng kia em chẳng trả
Chỉ nhả hạt xuống thôi
Hạt rớt xuống thành cây
Cây cũng toàn cây khế
Từ khi em đi rồi
Vườn tôi thành lặng lẽ
Biết bao giờ trở lại
Cánh chim em ngày nào
Lòng tôi hoa khế rụng
Xuống nỗi buồn nôn nao...",[Thông tin 1 nguồn tham khảo đã được ẩn],https://www.thivien.net/Nguy%E1%BB%85n-Nh%E1%BA%ADt-%C3%81nh/L%C3%B2ng-t%C3%B4i-l%C3%A0-c%C3%A2y-kh%E1%BA%BF/poem-piaOE_aXABBrdEkka4gaag
